tract,avg
17031010100,3.15044159728262
17031010201,3.63124200316359
17031010202,2.14187707359878
17031010300,3.05703647870676
17031010400,2.36420605163905
17031010501,2.92129185893954
17031010502,2.35989929675007
17031010503,2.72721031717067
17031010600,2.92779854111843
17031010701,2.88555455639126
17031010702,3.54168063207556
17031020100,3.01037239915486
17031020200,2.55203382115222
17031020301,1.86385257022457
17031020302,2.49857431382659
17031020400,2.63314723881674
17031020500,2.1056242833382
17031020601,2.26712768997502
17031020602,2.72499624897021
17031020701,1.7409935642669
17031020702,2.41565122898607
17031020801,2.58165583477903
17031020802,2.35395804464758
17031020901,2.73483347898421
17031020902,2.56474168204623
17031030101,1.94634524244166
17031030102,1.6554122313707
17031030103,2.13186666969765
17031030104,2.0233053810786
17031030200,2.88957429205073
17031030300,2.46730106339471
17031030400,3.86453730818988
17031030500,2.44789685368293
17031030601,2.33185700181878
17031030603,2.09696027960919
17031030604,2.10867574281571
17031030701,2.22840510798558
17031030702,1.87278536114038
17031030703,2.62692367078871
17031030706,2.1363095245662
17031030800,2.71577795257474
17031030900,2.49846424808191
17031031000,1.91173278525498
17031031100,2.25166255468496
17031031200,2.05884062273973
17031031300,1.6869061173503
17031031400,1.21480462030423
17031031501,1.90189053970185
17031031502,1.83960262052287
17031031700,2.32486549555314
17031031800,1.83451654735931
17031031900,2.27716659488874
17031032100,2.12434787407847
17031040100,3.35172830120694
17031040201,3.09922418157771
17031040202,2.55918137511101
17031040300,2.0888769375877
17031040401,1.84305448497528
17031040402,2.27169002118503
17031040600,2.36150532889481
17031040700,2.33675150945683
17031040800,1.2565688701377
17031040900,1.76501784223413
17031050100,2.14059333846276
17031050200,1.922095450827
17031050300,1.63762366749181
17031050500,2.13386035368705
17031050600,1.92912445254669
17031050700,2.1471260870676
17031050800,2.2826015390351
17031050900,2.49963557667086
17031051000,2.16104578707889
17031051100,1.82506295244225
17031051200,2.18561279297062
17031051300,1.87656600767311
17031051400,1.89194010857702
17031060100,2.26515462626288
17031060200,2.56188172857417
17031060300,2.1327404191142
17031060400,1.62167376295194
17031060500,2.10106844651637
17031060800,1.99334918806983
17031060900,2.4176569057913
17031061000,1.78960414940219
17031061100,1.62235123547862
17031061200,2.35587121950146
17031061500,1.83241329305925
17031061800,1.72737688200189
17031061901,2.12371898083864
17031061902,1.84629465299347
17031062000,2.52189783768672
17031062100,2.23614675827171
17031062200,2.26716396972191
17031062300,2.18133946742517
17031062400,3.02093343693847
17031062500,2.2112002800282
17031062600,1.92185531511382
17031062700,2.09121923023241
17031062800,2.17670426221629
17031062900,2.06888924854338
17031063000,3.10989144466622
17031063100,2.13307574020797
17031063200,2.30295015629881
17031063301,1.7723022505027
17031063302,2.38531415879582
17031063303,2.02733698282566
17031063400,2.24151047364991
17031070101,2.31828103425644
17031070102,1.69314923111221
17031070103,2.00797993016199
17031070200,2.14229212968978
17031070300,1.97026461319867
17031070400,1.6708522360528
17031070500,1.91979502407297
17031070600,1.65224606505463
17031070700,2.36239105563165
17031071000,1.64516885708599
17031071100,2.35424616012629
17031071200,1.84885849393569
17031071300,1.62478814210725
17031071400,2.03184870268553
17031071500,2.54531345819793
17031071600,2.31875921762891
17031071700,2.14655066304423
17031071800,2.48820219739009
17031080100,2.64399085634677
17031080201,3.00601966485061
17031080202,3.34132880078745
17031080300,2.66430467122084
17031080400,2.89239061498468
17031081000,1.9132438026213
17031081100,2.50680344564632
17031081201,2.73640465777673
17031081202,2.62264158491954
17031081300,2.5245558935112
17031081401,3.59725986721508
17031081402,1.98063878493775
17031081403,2.31183670101335
