placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
zzz-222@5pw-2nt-yn5,sg:06bcb4234ebc45628c7d0c7d2ab9c5f4,,,Northeast Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.819604,-87.892085,Unknown,Western Springs,IL,60558,US,NA,,,,NA,,2019-07
zzz-222@5pv-h77-xt9,sg:4ab080622647493891ef1946f52f5624,,,Spring Lake,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.476178,-89.849172,Spring Lake,East Peoria,IL,61611,US,NA,,,,NA,,2019-07
zzz-222@5sb-8dg-fpv,sg:cf14c8e59aba4b99bf8483c809e8f6d6,,,Elder Lane Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.932327,-87.873093,2932 Elder Ln,Franklin Park,IL,60131,US,NA,,,,NA,,2019-07
zzz-222@5sb-c3g-q9f,sg:d3c427a842bf46d88023249785dea508,,,Sequoit Creek Forest Preserve,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.460849,-88.078162,Sequoit Creek Forest Preserve,Antioch,IL,60002,US,NA,,,,NA,,2019-07
zzz-222@5pw-6fm-fxq,sg:22747c7718ae49f781a941b50a6e3544,,,Park No 571,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.843269,-87.663132,2754 S Eleanor St # 2860,Chicago,IL,60608,US,17738239135,,,,NA,,2019-07
zzz-222@5pw-2k7-yqf,sg:40686af05cc644dd850a40c71c341a18,,,Ulrich Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.758471,-87.808244,7300 S Ferdinand Ave,Bridgeview,IL,60455,US,NA,,,,NA,,2019-07
zzz-222@5pv-hy3-gkz,sg:5033e53472584445a25b27016c2c46cd,,,Edward R Madigan State Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.113466,-89.392315,Edward R Madigan State Park,Lincoln,IL,62656,US,NA,,,,NA,,2019-07
zzz-222@5sb-77z-yd9,sg:7f5fd912d8094d80bfceb8ef4b840062,,,Woods Creek Riparian Corridor,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.171804,-88.348055,Bunker Hill Dr Woods Creek Ln,Algonquin,IL,60102,US,NA,,,,NA,,2019-07
zzy-222@5sb-t4k-b6k,sg:ab43a0212ab246288c40f7a395baee02,,,Hennepin Feeder Canal State Parkway,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.786569,-89.677509,E 2nd St,Rock Falls,IL,61071,US,NA,,,,NA,,2019-07
zzz-222@5sb-7vc-975,sg:efd8c9441f1b4c21a16a2387389bda56,,,Meadows Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.021861,-88.153118,100 Belle Ln,Streamwood,IL,60107,US,NA,,,,NA,,2019-07
zzz-222@5sb-spb-rzf,sg:07dcefd46c6a4b8787fbd311fc43598d,,,Administrative Office Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.770738,-89.68316,E 11th St,Rock Falls,IL,61071,US,NA,,,,NA,,2019-07
zzz-222@5sb-ddf-v75,sg:6fd0948d492242d9860b7066ee00f9c8,,,Churchill Hunt Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.400266,-87.934965,6000 Westminster Ln,Gurnee,IL,60031,US,NA,,,,NA,,2019-07
zzz-222@5sb-8dr-r49,sg:a9c6d9d0893d4c0389107cca1e4bd9aa,,,Muir Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.994953,-87.979751,2150 Tonne Rd,Elk Grove Village,IL,60007,US,NA,,,,NA,,2019-07
zzz-222@5pv-vk6-d35,sg:b0cb9998b4fa44d9983f2403e9ad7362,,,Class Of 1959 Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.393671,-87.693936,302 Illinois 1,Marshall,IL,62441,US,NA,,,,NA,,2019-07
zzz-222@5sb-8bn-b6k,sg:bd35305bc0594a92a85c94b8a74999c0,,,Klehm Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.089487,-87.962953,Klehm Park,Arlington Heights,IL,60004,US,NA,,,,NA,,2019-07
zzz-222@5q2-bs8-ygk,sg:f99b5bfee73d453b94c7c69cd7d1a612,,,Westview Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.912334,-91.367405,3200 Harrison St,Quincy,IL,62301,US,NA,,,,NA,,2019-07
zzz-222@5pw-67z-x5z,sg:048917b1a46e4f06b9d6fd50f83eb20c,,,Shedd John G,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.85015,-87.716603,3660 W 23rd St,Chicago,IL,60623,US,17737623168,,,,NA,,2019-07
zzz-222@5sb-8gr-hwk,sg:273c208ae48f4949b9fed2e3f7ba1833,,,Meadows Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.073251,-87.954196,1401 W Gregory St,Mount Prospect,IL,60056,US,NA,,,,NA,,2019-07
zzz-222@5pw-6cq-975,sg:52d73a9806de4da99a6d888a8460fa0a,,,Hancock Hs,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.792917,-87.724887,Hancock Hs,Chicago,IL,60629,US,NA,,,,NA,,2019-07
zzz-222@5pw-2cb-yd9,sg:5bba000860c040049c45f57a7f333522,,,Boy Scout,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.605867,-88.196906,Boy Scout,Plainfield,IL,60544,US,NA,,,,NA,,2019-07
zzz-222@5pw-p8g-fmk,sg:6e7b8ab461f446069b3d4a7b7d32819a,,,Canterbury Woods,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.65566,-88.229387,Canterbury Woods,Plainfield,IL,60585,US,NA,,,,NA,,2019-07
zzz-222@5sb-7fj-3wk,sg:bb78abb3848449b4bde0c265fa25447c,,,Mchenry Township Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.37959,-88.273773,Adams Park,Johnsburg,IL,60051,US,NA,,,,NA,,2019-07
zzz-222@5sb-7xx-vs5,sg:e1525ebafc114bb28f3f5ae5320e9662,,,Crestview Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.917732,-87.93178,620 N Adele St,Elmhurst,IL,60126,US,NA,,,,NA,,2019-07
zzz-222@5pw-nng-yvz,sg:90163601c88b43f9bfee06f764e7f39b,,,Lathrop Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.664074,-88.536307,Hale Street And North Street,Plano,IL,60545,US,NA,,,,NA,,2019-07
zzy-222@5pv-jtk-t7q,sg:1946e7c59ef34ff1851af3113e4004c9,,,Ironwood Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.540279,-88.982767,1900 N Linden St,Normal,IL,61761,US,NA,,,,NA,,2019-07
zzz-222@5pw-6q2-4d9,sg:6f542c5009194ca792bd9f4cfba8b932,,,Leah Lomar Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.022824,-87.69187,Leah Lomar Park,Evanston,IL,60202,US,NA,,,,NA,,2019-07
zzz-222@5sb-8fs-kmk,sg:784e31ff35c542179768b99976fe305b,,,Flick Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.078817,-87.844989,3600 Glenview Rd,Glenview,IL,60025,US,18476041893,,,,NA,,2019-07
zzz-222@5pw-2hm-fcq,sg:d6f15144edf44c68a97b7994d5a5edb0,,,Boulder Ridge North Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.536023,-87.919719,19237 Beaver Creek Ln,Mokena,IL,60448,US,NA,,,,NA,,2019-07
zzz-222@5pv-n5c-w49,sg:3e6c0131ae3a4043aef5c95a2efcd43b,,,Robinson Park North,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.821622,-89.585309,511 W Mossville Rd,Peoria,IL,61615,US,NA,,,,NA,,2019-07
zzz-222@5sb-7vg-c3q,sg:65ce12fded9f48fc92359824336ae6a0,,,Jefferson Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.022165,-88.191477,320 E Streamwood Blvd,Streamwood,IL,60107,US,NA,,,,NA,,2019-07
zzz-222@5pj-5yj-4vz,sg:728362bbea854b039bdb38e52d7bc859,,,Worthen Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.719822,-90.100607,3200B Maryville Rd,Granite City,IL,62040,US,NA,,,,NA,,2019-07
zzy-225@5sb-d6n-xbk,sg:c203d84fe1684501ba32ccc77ced021a,,,Illinois Beach State Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.424028,-87.804874,Lake Front,Zion,IL,60099,US,17086624811,,,,NA,,2019-07
zzw-223@5sb-cz5-7qz,sg:0579aa02f088466b807b274c28534750,zzz-222@5sb-cz5-835,sg:14fe8f303b7f4cf89141dac8572ee87a,Lambs Farm,,,"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,712130,42.278691,-87.911154,14245 W Rockland Rd,Green Oaks,IL,60048,US,18473624636,,,,NA,,2019-07
zzw-222@5pw-6qf-p5f,sg:518f51d8392047faafd605d4a65841b6,,,Margate Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.97232,-87.649998,4921 N Marine Dr,Chicago,IL,60640,US,13127427522,,,,NA,,2019-07
zzz-222@5pw-2mz-2p9,sg:ab480d6c60234717a4342bff64565851,,,Forest View Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.807872,-87.796935,Forest View Park,Forest View,IL,60402,US,NA,,,,NA,,2019-07
zzz-222@5pj-9x2-xwk,sg:cc3eeccd289a4a5394c8f634293a7f55,,,Longfellow Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,37.767579,-89.346893,Logan St & N 20th St,Murphysboro,IL,62966,US,NA,,,,NA,,2019-07
zzz-222@5pv-yg9-975,sg:d1e4860f8c9f4f0dacf9299de0779599,,,Kiwanis Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.563438,-87.565795,2101 182nd St,Lansing,IL,60438,US,NA,,,,NA,,2019-07
zzz-222@5sb-8gg-vs5,sg:225f065721864e63a822fbed03ee1560,,,Blackhawk Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.049858,-87.918716,100 E Golf Rd,Des Plaines,IL,60016,US,NA,,,,NA,,2019-07
zzw-223@5sb-d4d-8n5,sg:539be1965d20408eb078d0d46a281248,,,Watts Ice Center,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.124128,-87.753284,305 Randolph St,Glencoe,IL,60022,US,18478354440,,,,NA,,2019-07
zzz-222@5sb-7ss-t5f,sg:6c7bd6a802a142d7a8379fcd2c77030d,,,Ancient Oaks Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.963417,-88.209713,1185 Ancient Oaks Dr,Bartlett,IL,60103,US,NA,,,,NA,,2019-07
zzz-222@5sb-btp-gzf,sg:7e3d49e2a27d455ab2dd757ef178fe2c,,,Timothy Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.477439,-87.870621,Timothy Park,Zion,IL,60099,US,NA,,,,NA,,2019-07
zzz-222@5sb-8zn-99f,sg:bbc2b7ef6fba4f468a4e0fb70601050d,,,Martin Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.313456,-89.067777,Park Ridge Rd,Loves Park,IL,61111,US,NA,,,,NA,,2019-07
zzz-222@5pj-5gr-zj9,sg:def51b823a9f439e8f74a9fdf7cd1e7e,,,Alorton Village Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.576763,-90.111672,5491 Bond Ave,Alorton,IL,62207,US,NA,,,,NA,,2019-07
zzz-222@5pw-295-ffz,sg:a9c89ecb68a044539957d15c0ce40003,,,Hodges Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.501777,-87.618965,Unknown,Chicago Heights,IL,60411,US,17087577760,,,,NA,,2019-07
zzz-222@5pv-fvp-4jv,sg:d73bd599c05d429ba5dd5d06dfe747c3,,,Oak Grove Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.857273,-88.992488,2230 W Center St,Decatur,IL,62526,US,NA,,,,NA,,2019-07
zzz-222@5sb-85y-x89,sg:dbc59f3987454400bcdd1b24b50060d9,,,Big Woods Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.837168,-88.291284,1063 S. Raddant Road,Batavia,IL,60510,US,NA,,,,NA,,2019-07
zzz-222@5pk-8x8-zpv,sg:e677054d68d44573a3f0d0cb3f9372fb,,,Fairview Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.826097,-89.631388,E Griffiths Ave & N 19th St,Springfield,IL,62702,US,NA,,,,NA,,2019-07
zzz-222@5pj-5rf-mx5,sg:6dfa1fb2516b4e66bfd80689cf7d565a,,,Greenspace North,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.764998,-89.977057,Glen Carbon Rd,Glen Carbon,IL,62034,US,NA,,,,NA,,2019-07
zzz-222@5pw-p65-89z,sg:8a64e65b76424dc395455e22cad3c41c,,,Mooselake Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.816161,-88.340547,Prairie Ridge Lane,North Aurora,IL,60542,US,NA,,,,NA,,2019-07
zzz-222@5q2-bh9-rkz,sg:d00d35cc3dc74205ace1f727705d47a7,,,Boots Bush Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.930108,-91.346335,4230 Maine St,Quincy,IL,62305,US,NA,,,,NA,,2019-07
zzz-222@5pv-ycp-52k,sg:f90168beb28a4d8cbb64ac72ec7a972d,,,Lynwood Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.530177,-87.556634,Unknown,Lynwood,IL,60411,US,NA,,,,NA,,2019-07
zzw-222@5sb-d3j-qcq,sg:1549981cac854268972ed440ce5e8162,,,Burning Bush Trails Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.088366,-87.895774,1317 N Burning Bush Ln,Mount Prospect,IL,60056,US,NA,,,,NA,,2019-07
zzz-222@5pw-6qg-7bk,sg:54be5161ae054eeb81dffd3f179ec3fd,,,Steward,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.964722,-87.655885,Steward,Chicago,IL,60640,US,NA,,,,NA,,2019-07
222-222@5sb-cxr-h5z,sg:7e1cad76c4b546cd81df2a19d74057b4,zzz-222@5sb-cxs-bc5,sg:ef154c72ed7744f3a77a98213d6f33ba,Lake County Forest Preserve Operations,,,"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,712130,42.25653,-88.106814,24237 W Ivanhoe Rd,Wauconda,IL,60084,US,18475264555,"{ """"Mon"""": [[""""6:30"""", """"15:00""""]], """"Tue"""": [[""""6:30"""", """"15:00""""]], """"Wed"""": [[""""6:30"""", """"15:00""""]], """"Thu"""": [[""""6:30"""", """"15:00""""]], """"Fri"""": [[""""6:30"""", """"15:00""""]], """"Sat"""": [], """"Sun"""": [] }",,,NA,,2019-07
zzz-222@5pk-3rm-tsq,sg:9be7551812534bc8bbc219af4a7e3f99,,,Simms Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.957096,-89.102783,St Louis Ave & Elm St,Vandalia,IL,62471,US,NA,,,,NA,,2019-07
226-222@5sb-8g6-2kz,sg:b7929520ab4b46ff88372a7302ead15c,,,Loyola Center for Health at Park Ridge,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.987099,-87.839143000000007,1030 Higgins Rd,Park Ridge,IL,60068,US,NA,,,,NA,,2019-07
zzz-222@5pw-6c2-7h5,sg:67caf0572dc94789ac4e2be096c3665b,,,Murray,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.797749,-87.593737,1342 E 54th St,Chicago,IL,60615,US,NA,,,,NA,,2019-07
zzz-222@5pv-3bg-wzf,sg:6d595b4f3b4b4f6a897f720360eef7a8,,,Cobb Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.106841,-87.857134,Cobb Blvd,Kankakee,IL,60901,US,NA,,,,NA,,2019-07
zzz-222@5sb-ddh-q4v,sg:b75029b014494a60ae0482cc5a695200,,,Prairie Oaks Park North,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.380538,-87.926892,Deer Run,Gurnee,IL,60031,US,NA,,,,NA,,2019-07
zzz-222@5pw-nth-r8v,sg:e6f8d512640d4509b206c7de1a5ac020,,,Aspen Meadows,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.562347,-88.227059,5905 Timber Trl,Joliet,IL,60586,US,NA,,,,NA,,2019-07
zzz-222@5pw-kys-435,sg:02968b10603c409887b05e8144f7b001,,,City County Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.417945,-89.466948,N Main St,Princeton,IL,61356,US,NA,,,,NA,,2019-07
zzz-222@5pw-p7x-9j9,sg:2e53f547a9e14f7f8b4307a1be98af5b,,,Tall Grass Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.706866,-88.214939,3512 Grassmere Road,Naperville,IL,60564,US,NA,,,,NA,,2019-07
zzw-222@5q2-qvs-s5z,sg:329d9be5e51f48288766fde7b32d3bd8,,,Leisure Oaks Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.6174,-89.672456,5805 S Lafayette Ave,Bartonville,IL,61607,US,13096974871,,,,NA,,2019-07
zzz-222@5pw-2rs-b49,sg:6066105f74f8417e8b64233974fd37a7,,,Blackstone Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.629041,-87.579799,Unknown,Dolton,IL,60419,US,NA,,,,NA,,2019-07
zzz-222@5sb-cxs-bc5,sg:ef154c72ed7744f3a77a98213d6f33ba,,,Lakewood Forest Preserve,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.26088,-88.099222,27375 N Fairfield Rd,Wauconda,IL,60060,US,NA,,,,NA,,2019-07
zzz-222@5sb-7fv-p35,sg:f71a9ea511304b2f97a7edfe2e6f3a0f,,,Heritage Community Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.332069,-88.197378,28958 Bayberry Ct,Lakemoor,IL,60051,US,NA,,,,NA,,2019-07
zzz-222@5pw-69n-st9,sg:f87c6c72f72745c08b74efdebcb4955b,,,Dean John,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.907052,-87.6711,1356 N Dean St,Chicago,IL,60622,US,NA,,,,NA,,2019-07
zzz-222@5sb-86s-k9f,sg:003740641e584657a8f5207979f6c46a,,,Rathje Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.859534,-88.117863,616 Delles Rd,Wheaton,IL,60187,US,16307520120,,,,NA,,2019-07
zzz-222@5pw-28y-p9z,sg:2c05a6e5eecb42519be06382827ae905,,,Marquette Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.476232,-87.691448,Unknown,Park Forest,IL,60466,US,NA,,,,NA,,2019-07
zzz-222@5pw-6qh-4n5,sg:33c6963681374c13aaef76a769363798,,,Northside Hs,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.980314,-87.706832,Northside Hs,Chicago,IL,60659,US,NA,,,,NA,,2019-07
zzz-222@5sb-b6g-dd9,sg:33d78dd294c54cab9cb687292711720b,,,Hopkins Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.94464,-88.736396,1403 Sycamore Rd,DeKalb,IL,60115,US,18157588853,,,,NA,,2019-07
zzz-222@5pw-68x-7qz,sg:ab4e533e0b3d4913ab573b5a30f24cef,,,Legion Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.863201,-87.84492,Legion Park,Broadview,IL,60153,US,NA,,,,NA,,2019-07
zzz-222@5q2-brz-k2k,sg:3c1c1e6413e146b4b0bed3a2774ccdd2,,,Riverview Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.943918,-91.414459,1001 N 2nd St,Quincy,IL,62301,US,NA,,,,NA,,2019-07
zzz-222@5sb-8fw-7h5,sg:554dc545fc8c409184b1aea636caf230,,,Kylemore Greens,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.071541,-87.902291,Unknown,Des Plaines,IL,60016,US,NA,,,,NA,,2019-07
zzz-222@5sb-ddy-wff,sg:7df04e3790cc4df29590903be7df257d,,,Heather Ridge Woods,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.347018,-87.945836,Heather Ridge Woods,Gurnee,IL,60031,US,NA,,,,NA,,2019-07
zzz-222@5sb-94g-9pv,sg:e6885ab24ea647449b3d20d090f2b1d1,,,Mariposa Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.242964,-89.011434,Mariposa Park,Rockford,IL,61108,US,NA,,,,NA,,2019-07
zzz-222@5sb-873-k9f,sg:715b187051da47418549b9ccbb3325a4,,,Pleasant Hill Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.891644,-88.14005,Harriet St,Winfield,IL,60190,US,NA,,,,NA,,2019-07
zzz-222@5pw-253-pgk,sg:7e345f35a8784926a97d108fbac3f7d9,,,Perminas Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.63202,-87.823717,14201 Cristina Ave,Orland Park,IL,60462,US,NA,,,,NA,,2019-07
zzz-222@5sb-7gx-8sq,sg:b109d80fb6fa42a08c10ff9462c9d197,,,Township Of Lake Villa Open Space,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.395035,-88.056016,Township of Lake Villa Open Space,Venetian Village,IL,60046,US,NA,,,,NA,,2019-07
zzz-222@5pw-6bv-s89,sg:2219c575570246e4a3bd8ce7d649bd78,,,Bontemps,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.788212,-87.65539,Bontemps,Chicago,IL,60636,US,NA,,,,NA,,2019-07
zzz-222@5sb-8hm-dd9,sg:30613895b0ed49efb12a46ccb64c826a,,,Bartels Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.101002,-88.278733,Bartels Park,East Dundee,IL,60118,US,NA,,,,NA,,2019-07
zzz-222@5sb-7vk-wx5,sg:5a5595dc384d4061a5d701413e909af4,,,Golf And Knollwood Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.045523,-88.136229,111 S Knollwood Dr,Schaumburg,IL,60193,US,NA,,,,NA,,2019-07
zzz-222@5sb-938-x5z,sg:9a656a48949a4cf2baf0f9dc66f808fa,,,Williams Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.360248,-89.051968,Ritter Dr,Machesney Park,IL,61115,US,NA,,,,NA,,2019-07
zzz-222@5pw-69p-ffz,sg:02d88798bb8b49fca5682e53f2312ab7,,,Walsh John,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.913598,-87.668417,1722 N Ashland Ave,Chicago,IL,60622,US,17733840393,,,,NA,,2019-07
zzz-222@5sb-8c9-6ff,sg:120b57f7f50a45f49106f030c98dd351,,,Swansway Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.165367,-88.073554,Swansway Park,Deer Park,IL,60010,US,NA,,,,NA,,2019-07
zzz-222@5sb-6yv-g6k,sg:329e508329f645d1b01199408549b289,,,Singing Hills Forest Preserve,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.300961,-88.153656,Singing Hills Forest Preserve,Wauconda,IL,60073,US,NA,,,,NA,,2019-07
zzz-222@5pw-69k-xyv,sg:348b7b46e0494875b94b43ff3ea39ddb,,,Ohio and Harding,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.892018,-87.724412,607 N Harding Ave,Chicago,IL,60624,US,NA,,,,NA,,2019-07
zzz-222@5pj-5jb-mhq,sg:64575bd4f90940feb2074787b9dc6f05,,,Tri Angle Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.707739,-90.159216,Rock Rd And Ohio Ave,Granite City,IL,62040,US,NA,,,,NA,,2019-07
zzz-222@5pw-p4f-h5z,sg:c80dda8e6e5747adad4660ba4251c96a,,,Hankes Road Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.771989,-88.386114,Hankes Road Park,Aurora,IL,60506,US,NA,,,,NA,,2019-07
zzz-222@5sb-b5c-dqf,sg:cd8c210e41f143a28b1b7b8c86284d31,,,Hetchler Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.928505,-88.69682,225 W Ellen Ave,Cortland,IL,60112,US,NA,,,,NA,,2019-07
zzz-222@5pw-2qn-zcq,sg:db6620f7c2c34c04b1bf5790e85b66fc,,,Avenues Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.589352,-87.730544,Unknown,Oak Forest,IL,60452,US,NA,,,,NA,,2019-07
zzz-222@5pw-p89-ty9,sg:1afc317a97c842979c6b82e614308471,,,Riverview,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.616095,-88.201801,Riverview,Plainfield,IL,60544,US,NA,,,,NA,,2019-07
zzz-222@5sb-d2c-j9z,sg:88e75e7d25994fe19bf0329176568ffc,,,Indian Ridge Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.125758,-87.861329,3313 Walters Ave,Northbrook,IL,60062,US,NA,,,,NA,,2019-07
